number,real,random_mean,random_lower,random_upper,deviation_from_random_mean
1,168,162.7705,140.0,186.0,5.229500000000002
2,154,162.7515,140.0,186.0,-8.751499999999993
3,171,163.1605,140.0,186.0,7.839499999999987
4,160,162.906,140.0,187.0,-2.906000000000006
5,153,162.969,139.0,186.0,-9.968999999999994
6,164,163.293,141.0,187.0,0.7069999999999936
7,168,162.549,139.0,187.0,5.450999999999993
8,156,162.79,139.0,186.0,-6.789999999999992
9,133,163.3525,141.0,186.0,-30.352499999999992
10,161,162.7025,140.0,188.0,-1.7024999999999864
11,165,162.9055,141.0,186.02499999999986,2.0945000000000107
12,177,163.1505,140.975,187.02499999999986,13.849500000000006
13,176,163.026,140.0,186.0,12.97399999999999
14,170,162.851,139.975,187.0,7.149000000000001
15,167,162.644,140.0,186.0,4.3559999999999945
16,166,162.8475,139.975,185.02499999999986,3.1525000000000034
17,170,162.9525,140.0,185.02499999999986,7.047500000000014
18,173,163.1335,139.0,185.0,9.866500000000002
19,167,163.185,140.0,185.0,3.8149999999999977
20,168,162.8575,141.0,185.0,5.1425000000000125
21,165,162.7445,140.0,186.0,2.255500000000012
22,143,163.0285,140.0,187.0,-20.028500000000008
23,147,163.026,140.0,186.0,-16.02600000000001
24,164,163.197,139.0,188.0,0.8029999999999973
25,151,162.7695,141.0,185.0,-11.769499999999994
26,164,163.088,140.0,188.0,0.9120000000000061
27,180,162.605,141.0,186.0,17.39500000000001
28,155,162.823,141.975,185.02499999999986,-7.8230000000000075
29,153,163.0305,141.0,186.0,-10.03049999999999
30,157,162.842,140.0,186.0,-5.842000000000013
31,166,162.58,140.0,186.0,3.4199999999999875
32,143,162.476,139.0,185.0,-19.476
33,173,162.9925,139.0,186.0,10.007499999999993
34,182,162.8965,140.0,185.0,19.103499999999997
35,161,162.652,139.0,187.0,-1.6519999999999868
36,163,163.163,139.0,187.0,-0.16300000000001091
37,171,162.697,140.0,187.0,8.302999999999997
38,169,163.1405,140.0,188.0,5.859499999999997
39,166,162.754,140.0,187.0,3.2460000000000093
40,172,163.1935,140.0,186.0,8.8065
41,148,163.1225,140.0,187.0,-15.122500000000002
42,154,162.807,140.0,186.0,-8.806999999999988
43,163,162.968,141.0,187.0,0.03200000000001069
44,161,163.5475,141.0,186.0,-2.5475000000000136
45,174,163.0585,140.0,186.02499999999986,10.94149999999999
